|File_Scraped|Corresponding URL
0|thehindu_feb_02_file_0.json|https://www.thehindu.com/sport/other-sports/van-foreest-triumphs-hari-seventh/article33721087.ece
1|thehindu_feb_02_file_1.json|https://www.thehindu.com/sport/tennis/advantage-india/article33721222.ece
2|thehindu_feb_02_file_2.json|https://www.thehindu.com/sport/tennis/murray-river-open-nagal-loses-season-opener/article33721009.ece
3|thehindu_feb_02_file_3.json|https://www.thehindu.com/sci-tech/technology/chip-sales-rose-globally-in-2020/article33717663.ece
4|thehindu_feb_02_file_4.json|https://www.thehindu.com/sci-tech/technology/elon-musk-says-bitcoin-on-the-verge-of-being-more-widely-accepted/article33717779.ece
5|thehindu_feb_02_file_5.json|https://www.thehindu.com/sci-tech/technology/studying-e-cigarette-using-pattern-with-sensors-and-ai/article33717950.ece
6|thehindu_feb_02_file_6.json|https://www.thehindu.com/sci-tech/technology/eu-to-rule-on-microsofts-zenimax-deal/article33717818.ece
7|thehindu_feb_02_file_7.json|https://www.thehindu.com/sci-tech/technology/microsoft-teams-gets-approvals-tasks-publishing-features/article33717398.ece
8|thehindu_feb_02_file_8.json|https://www.thehindu.com/sci-tech/technology/apple-ios-14-imessage-security-apple-iphone-apple-latest-software-update-imessages-hack/article33716957.ece
9|thehindu_feb_02_file_9.json|https://www.thehindu.com/sci-tech/technology/transferring-whatsapp-chats-to-telegram/article33716238.ece
10|thehindu_feb_02_file_10.json|https://www.thehindu.com/sci-tech/technology/google-allows-gambling-apps-in-15-countries-india-not-included/article33715142.ece
11|thehindu_feb_02_file_11.json|https://www.thehindu.com/sci-tech/technology/what-gamestops-surge-says-about-online-mobs/article33714453.ece
12|thehindu_feb_02_file_12.json|https://www.thehindu.com/sci-tech/technology/russian-hack-brings-changes-uncertainty-to-us-court-system/article33714392.ece
13|thehindu_feb_02_file_13.json|https://www.thehindu.com/sci-tech/technology/taiwan-to-discuss-supply-chains-with-us/article33714438.ece
14|thehindu_feb_02_file_14.json|https://www.thehindu.com/news/top-news-of-the-day-in-union-budget-2021-finance-minister-announces-64180-crore-healthcare-scheme-poll-bound-states-to-get-new-roads-better-infrastructure-and-more/article33718518.ece
15|thehindu_feb_02_file_15.json|https://www.thehindu.com/news/morning-digest-february-1-2021/article33711375.ece
16|thehindu_feb_02_file_16.json|https://www.thehindu.com/news/international/news-analysis-with-myanmars-military-coup-the-tightrope-between-idealism-and-realpolitik-returns-for-new-delhi/article33720952.ece
17|thehindu_feb_02_file_17.json|https://www.thehindu.com/news/international/west-condemns-coup-chinas-response-is-muted/article33720655.ece
